rate,policy,missions_total,missions_completed,tardy_count,total_tardiness_min,safety_violations,makespan_min,charge_sessions,total_charge_energy_wh,mean_charge_duration_min
0.3,full,459,459,0,0,0,1500.0,69,4579.755088321791,31.130434782608695
0.3,adaptive,459,455,228,34429.03148527084,0,1493.0,14804,4169.901896062058,0.07633072142664145
0.6,full,919,918,0,0,0,1499.0,140,9397.443917271848,31.37857142857143
0.6,adaptive,919,673,210,10011.194764020862,0,1080.0,15342,6581.492316436285,0.11582583757006909
0.9,full,1385,1380,0,0,0,1500.0,213,14235.58678706878,31.366197183098592
0.9,adaptive,1385,743,312,55413.31847302887,0,1500.0,10445,7529.719804752237,0.3505026328386788
1.2,full,1850,1849,0,0,0,1499.0,286,19049.204854185915,31.43006993006993
1.2,adaptive,1850,1017,525,181414.60560485892,0,1493.0,14891,10829.160334189697,0.21516352159022228
