mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.3,distributed,B3_no_reservation,3,22,303,303,0,0.0,1.0054945054945055,2.140907298866785,0,364
0.3,distributed,B3_no_reservation,3,23,298,298,0,0.0,1.0028328611898016,2.170624963452119,0,353
0.3,distributed,B3_no_reservation,3,24,283,283,0,0.0,1.003003003003003,2.153442998640836,0,333
0.3,distributed,B3_no_reservation,4,25,289,289,0,0.0,1.0,2.1871767584778334,0,394
0.3,distributed,B3_no_reservation,4,26,286,286,0,0.0,1.0,2.172674010257732,0,398
0.3,distributed,B3_no_reservation,4,27,316,316,0,0.0,1.0,2.1807493310665933,0,464
0.3,distributed,B3_no_reservation,4,28,256,256,0,0.0,1.0,2.182238268795739,0,350
0.3,distributed,B3_no_reservation,4,29,342,342,0,0.0,1.0,2.1946662793366762,0,479
0.3,distributed,B3_no_reservation,4,30,309,309,0,0.0,1.0,2.1674107661638837,0,412
0.5,concentrated,B3_no_reservation,0,1,463,463,0,0.0,1.3819951338199514,2.7530473542207696,0,411
0.5,concentrated,B3_no_reservation,0,2,498,498,0,0.0,1.381057268722467,2.737155588036157,0,454
0.5,concentrated,B3_no_reservation,0,3,502,502,0,0.0,1.3893617021276596,2.7359369171479244,0,470
0.5,concentrated,B3_no_reservation,0,4,511,511,0,0.0,1.3549060542797495,2.7346529151501255,0,479
0.5,concentrated,B3_no_reservation,0,5,477,477,0,0.0,1.392156862745098,2.7361957063220856,0,459
0.5,concentrated,B3_no_reservation,0,6,539,539,0,0.0,1.3510204081632653,2.7116031894766577,0,490
0.5,concentrated,B3_no_reservation,1,7,458,458,0,0.0,1.3005671077504726,2.6926686477822748,0,529
0.5,concentrated,B3_no_reservation,1,8,495,495,0,0.0,1.293193717277487,2.684462860605694,0,573
0.5,concentrated,B3_no_reservation,1,9,502,502,0,0.0,1.3079646017699116,2.7080042812671183,0,565
0.5,concentrated,B3_no_reservation,1,10,514,514,0,0.0,1.3722222222222222,2.716409637522924,0,540
0.5,concentrated,B3_no_reservation,1,11,512,512,0,0.0,1.3140916808149405,2.7482878785283056,0,589
0.5,concentrated,B3_no_reservation,1,12,457,457,0,0.0,1.3127413127413128,2.726259339368183,0,518
0.5,concentrated,B3_no_reservation,2,13,490,490,0,0.0,1.3666666666666667,2.739067036747434,0,480
0.5,concentrated,B3_no_reservation,2,14,505,505,0,0.0,1.3490196078431373,2.7473609919871964,0,510
0.5,concentrated,B3_no_reservation,2,15,477,477,0,0.0,1.346938775510204,2.7342659369070432,0,490
0.5,concentrated,B3_no_reservation,2,16,494,494,0,0.0,1.3704453441295548,2.7241437303800318,0,494
0.5,concentrated,B3_no_reservation,2,17,530,530,0,0.0,1.3540856031128405,2.7443252265223546,0,514
0.5,concentrated,B3_no_reservation,2,18,519,519,0,0.0,1.3464991023339319,2.766794952426899,0,557
0.5,concentrated,B3_no_reservation,3,19,481,481,0,0.0,1.4484412470023982,2.744108065334863,0,417
0.5,concentrated,B3_no_reservation,3,20,515,515,0,0.0,1.4568181818181818,2.7521274174899597,0,440
0.5,concentrated,B3_no_reservation,3,21,515,515,0,0.0,1.3576017130620985,2.7258208781546047,0,467
0.5,concentrated,B3_no_reservation,3,22,496,496,0,0.0,1.3730684326710816,2.7201344205375952,0,453
0.5,concentrated,B3_no_reservation,3,23,506,506,0,0.0,1.3253796095444685,2.737813133739955,0,461
0.5,concentrated,B3_no_reservation,3,24,494,494,0,0.0,1.3802197802197802,2.7278687957177166,0,455
0.5,concentrated,B3_no_reservation,4,25,488,488,0,0.0,1.331384015594542,2.7458082166341513,0,513
0.5,concentrated,B3_no_reservation,4,26,489,489,0,0.0,1.3353535353535353,2.7120356689625216,0,495
0.5,concentrated,B3_no_reservation,4,27,492,492,0,0.0,1.3584521384928716,2.731460083930543,0,491
