layout_seed,rho,seed,t_r3b,t_conc,totalL_r3b,totalL_conc,block_r3b,block_conc
0,0.6,1,2.3610657715734793,0.33773300009317064,2.376311892179232,0.3391645013010542,0.0010663921013440217,0.0
0,0.6,2,2.3176261297557175,0.37043380586893715,2.310570785665701,0.36991931447189697,0.0006312076487515084,0.0
0,0.6,3,2.3298872322769046,0.35812288295275796,2.3198211012540844,0.3572342076506159,0.0006134285076957395,0.0
0,0.6,4,2.376331106882435,0.33756639334054117,2.3735660515231114,0.3365724478490385,0.0004632889811348727,0.0
0,0.6,5,2.3846414771203053,0.3531788336175995,2.3661416254140857,0.3524792827896996,0.0006342691913067811,0.0
0,0.6,6,2.4303171522936795,0.3398121031246062,2.455568025828551,0.33933464783571676,0.0008790564793788001,0.0
0,0.6,7,2.38518848532138,0.3521077802712233,2.390507524175398,0.3504214251848231,0.0008679112883866083,0.0
0,0.6,8,2.3963679670909794,0.3407077748167487,2.3991407954097888,0.33995064642826706,0.0004991680532445924,0.0
0,0.6,9,2.367447689117479,0.3473637915008289,2.3715022411204023,0.350091240530391,0.0006097448310267734,0.0
0,0.6,10,2.326006495851612,0.34277485117558404,2.3160840786421133,0.3411752352034313,0.0007251631617113851,0.0
0,0.8,1,5.878331044440289,2.258787341435391,5.850929522824483,2.2777101105999837,0.010255701451278507,0.00022040996253030638
0,0.8,2,6.158789326084214,2.1964842943312424,6.068816279954364,2.1905148776347976,0.012773951158422042,0.0
0,0.8,3,6.137410588499986,2.0748224726788926,6.061463296791465,2.0707053822365182,0.009628514895633029,4.175132908397584e-05
0,0.8,4,5.9985062751477365,2.263058518095363,5.912968849753927,2.2677117522471324,0.01154982166740972,9.701337398655672e-05
0,0.8,5,6.153137848518093,2.1381475413936304,6.082434566660519,2.1406426453913507,0.011064007227743415,4.161580290755743e-05
0,0.8,6,6.219608745995545,2.245540671612026,6.150290534477144,2.257468802754472,0.012320157609223469,1.3815589511204443e-05
0,0.8,7,6.020342387023394,2.3035340155311004,5.971881160852094,2.3242338281428827,0.011270179713676515,5.5057741806719795e-05
0,0.8,8,6.233327046121702,1.979489908848453,6.167341959434031,1.9690554275060899,0.012039001927904686,0.0
0,0.8,9,6.1072221400724755,2.205643582874012,6.0324335208698265,2.2123308197157305,0.011979043622062563,1.386731750610162e-05
0,0.8,10,6.250375152261613,2.161727819296408,6.152757164885816,2.1398413203783977,0.01266687104595747,7.015180851362348e-05
0,1.0,1,13.522256430165907,14.437901136136981,12.557740094887361,14.070046333423432,0.07438840631093778,0.03174813441073873
0,1.0,2,13.477342049266346,14.763328342856745,12.448214481699914,14.244020581210906,0.07442590818985678,0.03257793524522584
0,1.0,3,13.36327954124031,14.247016947194135,12.36543401485142,13.778761721500022,0.07250445632798574,0.030445825813782502
0,1.0,4,13.328642372326236,14.084614113606664,12.374808962130162,13.680577541223725,0.07154448050504601,0.028256374913852515
0,1.0,5,13.393122757628081,14.246610381572014,12.450391685638596,13.806697112104557,0.0727927728204844,0.02887218045112782
0,1.0,6,13.409311636770147,14.823382530473907,12.458515778033096,14.373502761896816,0.07310988657656359,0.03112265858343604
0,1.0,7,13.236354899433438,14.40134965027875,12.283465202903232,14.01352178251186,0.07136820567565164,0.03194817541648703
0,1.0,8,13.12907721738754,14.313155982025322,12.192192510810681,13.882499334362759,0.06980264695733479,0.028987119307690597
0,1.0,9,13.327859602608497,14.754499065939594,12.371734090171005,14.313867406680858,0.07155398497577455,0.03150339992678787
0,1.0,10,13.734361933472488,14.4407115079363,12.744157945560755,13.995956583317119,0.07536324975635687,0.03013689489896912
0,1.2,1,22.070950145208155,30.08100015306877,17.988304426147955,25.12647725672778,0.1880466472303207,0.16804862526632294
