mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.3,distributed,ours_all_off,4,25,289,289,0,0.0,1.0,2.038189798628759,0,48
0.3,distributed,ours_all_off,4,26,286,286,0,0.0,1.0,2.0456706117973757,0,50
0.3,distributed,ours_all_off,4,27,316,316,0,0.0,1.0,2.020956720701002,0,52
0.3,distributed,ours_all_off,4,28,256,256,0,0.0,1.0,2.05621728430959,0,45
0.3,distributed,ours_all_off,4,29,342,342,0,0.0,1.0,2.0548009189130205,0,58
0.3,distributed,ours_all_off,4,30,309,309,0,0.0,1.0,2.057165184682716,0,55
0.5,concentrated,ours_all_off,0,1,463,463,0,0.0,1.4659090909090908,2.137902068140572,0,88
0.5,concentrated,ours_all_off,0,2,498,498,0,0.0,1.4848484848484849,2.1457423632739467,0,99
0.5,concentrated,ours_all_off,0,3,502,502,0,0.0,1.5757575757575757,2.151845329315747,0,99
0.5,concentrated,ours_all_off,0,4,511,511,0,0.0,1.3917525773195876,2.12784760100705,0,97
0.5,concentrated,ours_all_off,0,5,477,477,0,0.0,1.5730337078651686,2.1301628606144933,0,89
0.5,concentrated,ours_all_off,0,6,539,539,0,0.0,1.4563106796116505,2.1426303394336665,0,103
0.5,concentrated,ours_all_off,1,7,458,458,0,0.0,1.4318181818181819,2.120702085774237,0,88
0.5,concentrated,ours_all_off,1,8,495,495,0,0.0,1.3846153846153846,2.1368538777428956,0,91
0.5,concentrated,ours_all_off,1,9,502,502,0,0.0,1.4731182795698925,2.124300957211066,0,93
0.5,concentrated,ours_all_off,1,10,514,514,0,0.0,1.4271844660194175,2.1347998519765428,0,103
0.5,concentrated,ours_all_off,1,11,512,512,0,0.0,1.5204081632653061,2.1187926033694042,0,98
0.5,concentrated,ours_all_off,1,12,457,457,0,0.0,1.404494382022472,2.13679047026425,0,89
0.5,concentrated,ours_all_off,2,13,490,490,0,0.0,1.4130434782608696,2.1217396084622857,0,92
0.5,concentrated,ours_all_off,2,14,505,505,0,0.0,1.51,2.13722446684391,0,100
