mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
0.3,distributed,B3_partial_False,0,4,303,303,0,0.0,1.0188679245283019,1.0,2.028949756279128,1.0,1.028949756279128,0.0,0,0.20943396226415095,0.0,53
0.3,distributed,B3_partial_False,0,5,293,293,0,0.0,1.0,1.0,2.019059870858888,0.996,1.023059870858888,0.0,0,0.19811320754716982,0.0,52
0.3,distributed,B3_partial_False,0,6,331,331,0,0.0,1.018181818181818,1.0,2.015697900467372,0.998,1.0176979004673723,0.0,0,0.19285714285714287,0.0,55
0.3,distributed,B3_partial_False,1,7,282,282,0,0.0,1.0681818181818181,1.8500000000000014,1.99640787693137,1.0,0.99640787693137,0.0,0,0.2956521739130435,0.0,44
0.3,distributed,B3_partial_False,1,8,295,295,0,0.0,1.0392156862745099,1.0,2.0318539435850953,1.0,1.0318539435850955,0.0,0,0.2647058823529412,0.0,51
0.3,distributed,B3_partial_False,1,9,309,309,0,0.0,1.0204081632653061,1.0,2.0117364481164746,0.998,1.0137364481164746,0.0,0,0.3264150943396226,0.0,49
0.3,distributed,B3_partial_False,1,10,332,332,0,0.0,1.0555555555555556,1.3499999999999943,2.004734050204522,1.002,1.0027340502045219,0.0,0,0.35,0.0,54
0.3,distributed,B3_partial_False,1,11,313,313,0,0.0,1.0727272727272728,2.0,2.0401615817448446,0.995,1.0451615817448447,0.0,0,0.3410714285714286,0.0,55
0.3,distributed,B3_partial_False,1,12,267,267,0,0.0,1.06,1.5499999999999972,2.0182449733825836,1.003,1.0152449733825837,0.0,0,0.252,0.0,50
0.3,distributed,B3_partial_False,2,13,275,275,0,0.0,1.065217391304348,1.75,2.030116736541393,1.002,1.028116736541393,0.0,0,0.23541666666666666,0.0,46
0.3,distributed,B3_partial_False,2,14,311,311,0,0.0,1.0,1.0,2.0180480843840467,0.996,1.022048084384047,0.0,0,0.27636363636363637,0.0,54
0.3,distributed,B3_partial_False,2,15,306,306,0,0.0,1.0576923076923077,1.4499999999999957,2.0121545791663102,1.001,1.0111545791663104,0.0,0,0.18518518518518517,0.0,52
0.3,distributed,B3_partial_False,2,16,285,285,0,0.0,1.0,1.0,2.000513539019134,1.0,1.0005135390191342,0.0,0,0.23,0.0,49
0.3,distributed,B3_partial_False,2,17,314,314,0,0.0,1.018181818181818,1.0,2.0058403993429192,1.0,1.0058403993429192,0.0,0,0.25272727272727274,0.0,55
0.3,distributed,B3_partial_False,2,18,315,315,0,0.0,1.0357142857142858,1.0,2.0183135141334017,0.999,1.0193135141334018,0.0,0,0.23559322033898306,0.0,56
0.3,distributed,B3_partial_False,3,19,299,299,0,0.0,1.0,1.0,2.028683543974089,0.998,1.030683543974089,0.0,0,0.2943396226415094,0.0,52
0.3,distributed,B3_partial_False,3,20,304,304,0,0.0,1.0,1.0,1.9926485793603574,0.996,0.9966485793603574,0.0,0,0.24259259259259258,0.0,53
0.3,distributed,B3_partial_False,3,21,329,329,0,0.0,1.018181818181818,1.0,2.0258614143220406,0.995,1.0308614143220407,0.0,0,0.21929824561403508,0.0,55
0.3,distributed,B3_partial_False,3,22,303,303,0,0.0,1.0196078431372548,1.0,2.0127085950024783,1.001,1.0117085950024782,0.0,0,0.2903846153846154,0.0,51
0.3,distributed,B3_partial_False,3,23,298,298,0,0.0,1.0,1.0,1.998853813272419,1.0,0.998853813272419,0.0,0,0.268,0.0,49
0.3,distributed,B3_partial_False,3,24,283,283,0,0.0,1.0,1.0,2.0019798167045177,1.001,1.0009798167045179,0.0,0,0.19583333333333333,0.0,48
0.3,distributed,B3_partial_False,4,25,289,289,0,0.0,1.0,1.0,2.0120406618515263,1.001,1.0110406618515266,0.0,0,0.2903846153846154,0.0,49
0.3,distributed,B3_partial_False,4,26,286,286,0,0.0,1.0,1.0,2.016620085088558,1.001,1.015620085088558,0.0,0,0.2653846153846154,0.0,52
0.3,distributed,B3_partial_False,4,27,316,316,0,0.0,1.0,1.0,2.0205029317320857,1.001,1.019502931732086,0.0,0,0.31607142857142856,0.0,55
0.3,distributed,B3_partial_False,4,28,256,256,0,0.0,1.0,1.0,2.030833565283708,0.994,1.0368335652837082,0.0,0,0.30434782608695654,0.0,44
0.3,distributed,B3_partial_False,4,29,342,342,0,0.0,1.0,1.0,2.018450224194245,1.002,1.0164502241942448,0.0,0,0.28,0.0,59
0.3,distributed,B3_partial_False,4,30,309,309,0,0.0,1.0,1.0,2.005351387734396,1.002,1.0033513877343958,0.0,0,0.2388888888888889,0.0,54
0.5,concentrated,B3_partial_False,0,1,463,463,0,0.0,1.4659090909090908,2.0,2.137902068140572,1.0,1.1379020681405718,0.0,0,0.0,0.0,88
0.5,concentrated,B3_partial_False,0,2,498,498,0,0.0,1.4848484848484849,2.0,2.1457423632739467,1.002,1.1437423632739467,0.0,0,0.0,0.0,99
0.5,concentrated,B3_partial_False,0,3,502,502,0,0.0,1.5757575757575757,2.0,2.151845329315747,0.999,1.152845329315747,0.0,0,0.0,0.0,99
0.5,concentrated,B3_partial_False,0,4,511,511,0,0.0,1.3917525773195876,2.0,2.12784760100705,1.001,1.12684760100705,0.0,0,0.0,0.0,97
0.5,concentrated,B3_partial_False,0,5,477,477,0,0.0,1.5730337078651686,2.0,2.1301628606144933,0.998,1.1321628606144933,0.0,0,0.0,0.0,89
0.5,concentrated,B3_partial_False,0,6,539,539,0,0.0,1.4563106796116505,2.0,2.1426303394336665,1.002,1.1406303394336668,0.0,0,0.0,0.0,103
0.5,concentrated,B3_partial_False,1,7,458,458,0,0.0,1.4318181818181819,2.0,2.120702085774237,1.0,1.120702085774237,0.0,0,0.0,0.0,88
0.5,concentrated,B3_partial_False,1,8,495,495,0,0.0,1.3846153846153846,2.0,2.1368538777428956,1.002,1.1348538777428954,0.0,0,0.0,0.0,91
0.5,concentrated,B3_partial_False,1,9,502,502,0,0.0,1.4731182795698925,2.0,2.124300957211066,1.0,1.1243009572110658,0.0,0,0.0,0.0,93
0.5,concentrated,B3_partial_False,1,10,514,514,0,0.0,1.4271844660194175,2.0,2.1347998519765428,1.001,1.1337998519765429,0.0,0,0.0,0.0,103
0.5,concentrated,B3_partial_False,1,11,512,512,0,0.0,1.5204081632653061,2.0,2.1187926033694042,1.001,1.1177926033694046,0.0,0,0.0,0.0,98
0.5,concentrated,B3_partial_False,1,12,457,457,0,0.0,1.404494382022472,2.0,2.13679047026425,1.002,1.13479047026425,0.0,0,0.0,0.0,89
0.5,concentrated,B3_partial_False,2,13,490,490,0,0.0,1.4130434782608696,2.0,2.1217396084622857,1.001,1.120739608462286,0.0,0,0.0,0.0,92
0.5,concentrated,B3_partial_False,2,14,505,505,0,0.0,1.51,2.0,2.13722446684391,1.002,1.1352244668439098,0.0,0,0.0,0.0,100
0.5,concentrated,B3_partial_False,2,15,477,477,0,0.0,1.5274725274725274,2.0,2.1427572549141947,0.995,1.1477572549141946,0.0,0,0.0,0.0,91
0.5,concentrated,B3_partial_False,2,16,494,494,0,0.0,1.5,2.0,2.1251695448943284,1.001,1.1241695448943283,0.0,0,0.0,0.0,96
0.5,concentrated,B3_partial_False,2,17,530,530,0,0.0,1.4705882352941178,2.0,2.138535663146317,1.001,1.1375356631463172,0.0,0,0.0,0.0,102
0.5,concentrated,B3_partial_False,2,18,519,519,0,0.0,1.4752475247524752,2.0,2.143754473749599,1.002,1.1417544737495993,0.0,0,0.0,0.0,101
0.5,concentrated,B3_partial_False,3,19,481,481,0,0.0,1.4301075268817205,2.0,2.1351242922011155,1.001,1.1341242922011157,0.0,0,0.0,0.0,93
0.5,concentrated,B3_partial_False,3,20,515,515,0,0.0,1.52,2.0,2.1343346152768765,1.002,1.1323346152768765,0.0,0,0.0,0.0,100
0.5,concentrated,B3_partial_False,3,21,515,515,0,0.0,1.4948453608247423,2.0,2.134480592278768,1.002,1.1324805922787682,0.0,0,0.0,0.0,97
0.5,concentrated,B3_partial_False,3,22,496,496,0,0.0,1.5326086956521738,2.0,2.1253315299761995,0.998,1.1273315299761995,0.0,0,0.0,0.0,92
0.5,concentrated,B3_partial_False,3,23,506,506,0,0.0,1.4631578947368422,2.0,2.1338006942013905,1.001,1.1328006942013904,0.0,0,0.0,0.0,95
0.5,concentrated,B3_partial_False,3,24,494,494,0,0.0,1.4842105263157894,2.0,2.125380749804473,0.999,1.126380749804473,0.0,0,0.0,0.0,95
0.5,concentrated,B3_partial_False,4,25,488,488,0,0.0,1.5106382978723405,2.0,2.1502655437344194,1.001,1.1492655437344197,0.0,0,0.0,0.0,94
0.5,concentrated,B3_partial_False,4,26,489,489,0,0.0,1.446808510638298,2.0,2.126050855700273,0.997,1.129050855700273,0.0,0,0.0,0.0,94
0.5,concentrated,B3_partial_False,4,27,492,492,0,0.0,1.5052631578947369,2.0,2.1231290105547225,0.997,1.1261290105547226,0.0,0,0.0,0.0,95
0.5,concentrated,B3_partial_False,4,28,453,453,0,0.0,1.5113636363636365,2.0,2.158052330762119,1.002,1.156052330762119,0.0,0,0.0,0.0,88
