n,m,t_crossover_R1,t_crossover_R1_lo,t_crossover_R1_hi,t_crossover_R3a,t_crossover_R3a_lo,t_crossover_R3a_hi
4,6,1.0175964116406635,1.015973046396652,1.0189932676631077,,,
5,7,1.0097219385030727,1.0087718169055322,1.0106396122164543,,,
10,9,1.0025813067482956,1.0023606496889395,1.0027547753406902,,,
