adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
,6391.352536076115,0,,density,,,,5792.88016777008,0,,scarce,2,,,1,
,6209.667432064678,0,,density,,,,5162.613260663169,0,,scarce,2,,,2,
,6684.041900983696,0,,density,,,,5631.395549038111,0,,scarce,2,,,3,
,6551.167604948211,0,,density,,,,5089.666050086446,0,,scarce,2,,,4,
,6312.42196917989,0,,density,,,,5121.762060451746,0,,scarce,2,,,5,
,6381.497871245399,0,,density,,,,4975.552053854905,0,,scarce,2,,,6,
,5829.246713410165,0,,density,,,,4958.734598776057,0,,scarce,2,,,7,
,6016.431610952907,0,,density,,,,5486.809775388299,0,,scarce,2,,,8,
,6109.571231411162,0,,density,,,,4994.8845863322385,0,,scarce,2,,,9,
,6767.179928097839,0,,density,,,,5224.377279104939,0,,scarce,2,,,10,
,6594.402815259043,0,,density,,,,5402.160495879292,0,,scarce,2,,,11,
,5917.441141373539,0,,density,,,,4837.199406450127,0,,scarce,2,,,12,
,6600.562970525108,0,,density,,,,5793.018336903609,0,,scarce,2,,,13,
,6447.595269677919,0,,density,,,,5224.580335159067,0,,scarce,2,,,14,
,6374.968655861884,0,,density,,,,5677.741414057253,0,,scarce,2,,,15,
,5721.03064980468,0,,density,,,,5495.8577187537485,0,,scarce,2,,,16,
,6939.467085762719,0,,density,,,,4899.397588166147,0,,scarce,2,,,17,
,6033.284815575059,0,,density,,,,5570.340638344884,0,,scarce,2,,,18,
,6148.83021675003,0,,density,,,,5299.105129447547,0,,scarce,2,,,19,
,6463.214123701617,0,,density,,,,4617.6420707169045,0,,scarce,2,,,20,
,6199.818808289248,0,,density,,,,5319.053822462279,0,,scarce,2,,,21,
,6499.452769959186,0,,density,,,,5610.661462383935,0,,scarce,2,,,22,
,6194.786912071599,0,,density,,,,5784.890039441997,0,,scarce,2,,,23,
,5756.78373029586,0,,density,,,,4965.616379984847,0,,scarce,2,,,24,
,6213.721817505525,0,,density,,,,5820.614007926168,0,,scarce,2,,,25,
,6181.839790103369,0,,density,,,,5132.150126592751,0,,scarce,2,,,26,
,6268.117334156101,0,,density,,,,5425.677333439595,0,,scarce,2,,,27,
,6282.777530606494,0,,density,,,,5847.649848297258,0,,scarce,2,,,28,
,6707.475696033026,0,,density,,,,5312.697359822758,0,,scarce,2,,,29,
,6140.002980245909,0,,density,,,,4982.799100001721,0,,scarce,2,,,30,
,8157.926955424665,0,,density,,,,7696.430965816935,0,,balanced,5,,,1,
,8762.521125317424,0,,density,,,,7996.684694535291,0,,balanced,5,,,2,
,8585.123235701716,0,,density,,,,7967.29589842706,0,,balanced,5,,,3,
,8553.834009890346,0,,density,,,,8192.570508950688,0,,balanced,5,,,4,
,7847.693344875331,0,,density,,,,7760.564298598776,0,,balanced,5,,,5,
,8697.278474632038,0,,density,,,,8412.895433112439,0,,balanced,5,,,6,
,7451.433987873959,0,,density,,,,7209.332848516656,0,,balanced,5,,,7,
,8142.998060461735,0,,density,,,,7463.930108872734,0,,balanced,5,,,8,
,8214.873887630487,0,,density,,,,8054.078057122645,0,,balanced,5,,,9,
,8844.567501701526,0,,density,,,,7976.503415865461,0,,balanced,5,,,10,
,8253.578081596317,0,,density,,,,7892.8988128236515,0,,balanced,5,,,11,
,7727.2549282330065,0,,density,,,,7278.410459462778,0,,balanced,5,,,12,
,8396.57774600493,0,,density,,,,7711.939841053388,0,,balanced,5,,,13,
,8681.287453802048,0,,density,,,,8335.769145459937,0,,balanced,5,,,14,
,8454.791006334648,0,,density,,,,7848.003261240926,0,,balanced,5,,,15,
,7822.506597358185,0,,density,,,,7445.90412274567,0,,balanced,5,,,16,
,9054.242586087765,0,,density,,,,8653.207440235505,0,,balanced,5,,,17,
,8328.475456336851,0,,density,,,,7988.741960260389,0,,balanced,5,,,18,
,8236.867226601064,0,,density,,,,7821.744605445715,0,,balanced,5,,,19,
,8209.35562372248,0,,density,,,,8144.525099299511,0,,balanced,5,,,20,
,8627.244611152148,0,,density,,,,8243.129825881415,0,,balanced,5,,,21,
,8124.935445309935,0,,density,,,,7643.940823577077,0,,balanced,5,,,22,
,8187.0994315538055,0,,density,,,,7890.056762973135,0,,balanced,5,,,23,
,8325.936697633622,0,,density,,,,7518.339495009718,0,,balanced,5,,,24,
,8210.760327194863,0,,density,,,,7820.602588978441,0,,balanced,5,,,25,
,8173.428302178326,0,,density,,,,7958.136625901028,0,,balanced,5,,,26,
,8136.086793577527,0,,density,,,,7811.750049935549,0,,balanced,5,,,27,
,8044.02336436766,0,,density,,,,7493.955003861026,0,,balanced,5,,,28,
