mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
0.3,concentrated,B3_use_queue_term_False,4,29,342,342,0,0.0,1.2893982808022924,2.0,2.653309081604397,1.002,1.651309081604397,0.0,0,0.0,0.0,349
0.3,concentrated,B3_use_queue_term_False,4,30,309,309,0,0.0,1.307936507936508,2.0,2.669129622961599,1.002,1.667129622961599,0.0,0,0.0,0.0,315
0.3,distributed,baseline,0,1,286,286,0,0.0,1.7857142857142858,6.699999999999974,1.9692656783498466,0.995,0.9742656783498465,0.0,0,0.5465116279069767,0.033,42
0.3,distributed,baseline,0,2,306,306,0,0.0,3.8181818181818183,27.75000000000002,1.9795448685055954,1.001,0.9785448685055955,0.0,0,0.5622222222222222,0.12287712287712288,44
0.3,distributed,baseline,0,3,307,307,0,0.0,2.217391304347826,8.75,1.9984313142376084,1.0,0.9984313142376086,0.0,0,0.5680851063829787,0.056,46
0.3,distributed,baseline,0,4,303,303,0,0.0,2.7555555555555555,12.799999999999997,1.994909684169762,1.001,0.993909684169762,0.0,0,0.48043478260869565,0.07892107892107893,45
0.3,distributed,baseline,0,5,293,293,0,0.0,1.6097560975609757,1.0,1.9381571362660595,0.996,0.9421571362660595,0.0,0,0.4714285714285714,0.025,41
0.3,distributed,baseline,0,6,331,331,0,0.0,2.0638297872340425,5.199999999999974,1.9889824354155743,0.998,0.9909824354155742,0.0,0,0.5836734693877551,0.067,47
0.3,distributed,baseline,1,7,282,282,0,0.0,2.55,14.149999999999991,1.9693241159048305,1.001,0.9683241159048306,0.0,0,0.5441860465116279,0.0919080919080919,40
0.3,distributed,baseline,1,8,295,295,0,0.0,4.609756097560975,26.0,1.9991393136639117,1.0,0.9991393136639116,0.0,0,0.6268292682926829,0.147,41
0.3,distributed,baseline,1,9,309,309,0,0.0,2.953488372093023,17.999999999999986,2.00833660349183,0.998,1.0103366034918302,0.0,0,0.6260869565217392,0.114,43
0.3,distributed,baseline,1,10,332,332,0,0.0,10.708333333333334,39.89999999999999,1.9887444975842543,1.002,0.9867444975842542,0.0,0,0.6125,0.46407185628742514,48
