policy,layout_id,seed,runtime_s,missions_completed,missions_total,makespan_min,miss_rate,mission_flight_per,station_trip_per,stored_change_per,safety
ours_partial,0,1,1.2279198169708252,785,785,1000.0,0.0,9.953058931888387,4.449909104298383,-0.8046872116265997,0
ours_partial,0,2,1.1891894340515137,809,809,1001.0,0.0,9.808936914241471,4.479399309984499,-0.7617260611349398,0
ours_full,0,1,1.2258031368255615,785,785,1001.0,0.0,10.230911310048791,0.9354133181503761,-0.3255747253048682,0
ours_full,0,2,1.6293156147003174,809,809,1001.0,0.0,10.019518632351948,1.0473203550625176,-0.28323517349443444,0
baseline_adaptive,0,1,1.209684133529663,785,785,1001.0,0.0,8.284516414329683,3.4155526745936604,-0.8831187099368183,0
baseline_adaptive,0,2,1.2212493419647217,809,809,1001.0,0.0,8.205422622881564,3.4103806570547617,-1.013460941917012,0
baseline_full,0,1,1.0659914016723633,785,785,1001.0,0.0,10.06790462965937,0.6757007209250584,-0.36893781183595403,0
baseline_full,0,2,1.0465190410614014,809,809,1001.0,0.0,10.111890906970618,0.61987074756524,-0.5450781522058108,0
