rho,seed,t_r3a,L_r3a,block_r3a,t_r1,block_r1,t_c_analytic,L_c_analytic
0.2,1,0.002482642160907571,0.0004940457900206066,0.0,0.2505540612346776,7.36105999263894e-05,0.0009578544061302684,0.0009578544061302684
0.2,2,0.003011590345645718,0.0005995072514732075,0.0,0.242744227184555,0.0,0.0009578544061302684,0.0009578544061302684
0.2,3,0.002614967429274334,0.0005175311094470493,0.0,0.2498906801347002,0.0,0.0009578544061302684,0.0009578544061302684
0.2,4,0.003916361186500726,0.000786144235503579,0.0,0.2383921612142852,0.0,0.0009578544061302684,0.0009578544061302684
0.2,5,0.0024391467036477157,0.00048717890160857036,0.0,0.22944843271512272,0.0,0.0009578544061302684,0.0009578544061302684
0.2,6,0.002876070582186133,0.0005723167416285058,0.0,0.25180152221508395,0.0,0.0009578544061302684,0.0009578544061302684
0.2,7,0.0037246759009339765,0.0007471699857273556,0.0,0.24991142810171377,0.0,0.0009578544061302684,0.0009578544061302684
0.2,8,0.0018277333862381773,0.0003645989636399564,0.0,0.24190921125137724,0.0,0.0009578544061302684,0.0009578544061302684
0.2,9,0.0034252189945617093,0.000687758602115439,0.0,0.2569048210020902,0.0,0.0009578544061302684,0.0009578544061302684
0.2,10,0.0031772147531162996,0.0006379376525775586,0.0,0.25072933427947025,0.0,0.0009578544061302684,0.0009578544061302684
0.2,11,0.003488890709427531,0.0006970028328389668,0.0,0.23895706840908035,0.0,0.0009578544061302684,0.0009578544061302684
0.2,12,0.0029041274576559408,0.0005757701585493427,0.0,0.24613011057133538,0.0,0.0009578544061302684,0.0009578544061302684
0.2,13,0.004059426496763492,0.0008188314291360493,0.0,0.24286836041566884,0.0,0.0009578544061302684,0.0009578544061302684
0.2,14,0.003043038671684021,0.0006089909317991643,0.0,0.24266734841147378,3.719407870267054e-05,0.0009578544061302684,0.0009578544061302684
0.2,15,0.003703162982644763,0.0007443631903485059,0.0,0.23980197741864948,0.0,0.0009578544061302684,0.0009578544061302684
0.3,1,0.02406777090224476,0.004809156612432246,0.0,0.638199039352883,0.00014660248735553548,0.008631100376500635,0.008631100376500635
0.3,2,0.022619575880169975,0.004527042821093969,0.0,0.6279057362384479,0.0001238451440319025,0.008631100376500635,0.008631100376500635
0.3,3,0.02274887869490757,0.00450674946470917,0.0,0.6151480535352525,0.00029796637946018423,0.008631100376500635,0.008631100376500635
0.3,4,0.02628595262054342,0.005298988433954684,0.0,0.6443106585835426,0.00017241379310344826,0.008631100376500635,0.008631100376500635
0.3,5,0.017761156218857464,0.003532145788096834,0.0,0.6518154479553413,0.000171661189857276,0.008631100376500635,0.008631100376500635
0.3,6,0.02092634224626684,0.004171524234345944,0.0,0.6432922804057104,0.00012305874824641283,0.008631100376500635,0.008631100376500635
0.3,7,0.02718175720532818,0.0054491033765446785,0.0,0.6376589446214227,9.83574309039048e-05,0.008631100376500635,0.008631100376500635
0.3,8,0.020516410469594258,0.00407227951809813,0.0,0.6600647965734804,2.4605693757535495e-05,0.008631100376500635,0.008631100376500635
0.3,9,0.02591987965862185,0.005216231781966211,0.0,0.6613644416387655,9.797917942437232e-05,0.008631100376500635,0.008631100376500635
0.3,10,0.02306215999623172,0.004644206530796708,0.0,0.6293075159306647,0.00014741290354282344,0.008631100376500635,0.008631100376500635
0.3,11,0.022998066745382753,0.004599306327251203,0.0,0.6495105048576124,9.90049997524875e-05,0.008631100376500635,0.008631100376500635
0.3,12,0.024957776952297072,0.004946323271242165,0.0,0.6349192854344172,0.0003241248628702503,0.008631100376500635,0.008631100376500635
0.3,13,0.0231763915342085,0.004656566251658306,0.0,0.6424507068705779,0.00019652156824211456,0.008631100376500635,0.008631100376500635
0.3,14,0.027216870537776126,0.00546474439108859,0.0,0.638607493841215,0.00019828975089850043,0.008631100376500635,0.008631100376500635
0.3,15,0.024118867547802323,0.004876060832293724,0.0,0.636996453975455,0.00014816644030127176,0.008631100376500635,0.008631100376500635
0.4,1,0.09941073437074095,0.019895401638730957,0.0,1.2882716536726107,0.0008708541782471744,0.03980099502400652,0.03980099502400487
0.4,2,0.0918933663506201,0.018315028605281187,0.0,1.336485200816645,0.001390691637307621,0.03980099502400652,0.03980099502400487
0.4,3,0.09900388970790404,0.019643105080194147,0.0,1.3079257068549872,0.0010028413839211097,0.03980099502400652,0.03980099502400487
0.4,4,0.09056878083270405,0.01813086360292032,0.0,1.310656561067564,0.001072465376010059,0.03980099502400652,0.03980099502400487
0.4,5,0.08188909591303696,0.016264690913068272,0.0,1.3565689404053753,0.000975573839895448,0.03980099502400652,0.03980099502400487
0.4,6,0.0917697232594563,0.018333693671235145,0.0,1.325256999515907,0.000848598889442323,0.03980099502400652,0.03980099502400487
0.4,7,0.09575069885337706,0.019221775478706456,0.0,1.2670020206200645,0.0006141248720573184,0.03980099502400652,0.03980099502400487
0.4,8,0.08921897802978056,0.0177473069334202,0.0,1.316258935283294,0.0010738553257669734,0.03980099502400652,0.03980099502400487
0.4,9,0.10291842870161866,0.02079752736440376,0.0,1.2931114270495694,0.0007389208061625996,0.03980099502400652,0.03980099502400487
0.4,10,0.09544549921951437,0.01911341031226254,0.0,1.2921265360540453,0.0011122851899226962,0.03980099502400652,0.03980099502400487
0.4,11,0.09102849021374364,0.01812873943116185,0.0,1.3128764100876846,0.0012763832109361994,0.03980099502400652,0.03980099502400487
0.4,12,0.09787723790804784,0.019497145791283126,0.0,1.3306479592218603,0.001147595602117499,0.03980099502400652,0.03980099502400487
0.4,13,0.0979769421481007,0.019659980635925185,0.0,1.29940118198518,0.00083191599497153,0.03980099502400652,0.03980099502400487
0.4,14,0.0923253048708142,0.018465402919736435,0.0,1.266901062778149,0.0008736871456455061,0.03980099502400652,0.03980099502400487
0.4,15,0.10297049121810595,0.02090148422851672,0.0,1.327825706031768,0.0009826643181607491,0.03980099502400652,0.03980099502400487
0.5,1,0.2560580998324331,0.051180581158287095,0.0,2.389382756893506,0.004552150854449028,0.13037129552829793,0.13037129552038323
0.5,2,0.27813096207354215,0.05567069336864019,0.0,2.403634347350694,0.0037047465212430167,0.13037129552829793,0.13037129552038323
0.5,3,0.25695910203241795,0.05084510853116662,0.0,2.3667658974413994,0.004342201139084271,0.13037129552829793,0.13037129552038323
0.5,4,0.2752133758222812,0.05510628003353517,0.0,2.3763533581349834,0.004054393986475489,0.13037129552829793,0.13037129552038323
0.5,5,0.2730634159133464,0.05454552980927428,0.0,2.3274881650365646,0.0031759759043330452,0.13037129552829793,0.13037129552038323
0.5,6,0.26353059920390615,0.05248124039612724,0.0,2.313680385871068,0.003709725096068578,0.13037129552829793,0.13037129552038323
0.5,7,0.2813627067124639,0.05652686389019597,0.0,2.3282990348064527,0.0033626142474113795,0.13037129552829793,0.13037129552038323
0.5,8,0.2584525039471043,0.051555964396808984,0.0,2.309614075551676,0.0035033549076658155,0.13037129552829793,0.13037129552038323
0.5,9,0.2935660031937467,0.059362960059151496,0.0,2.3760808914220872,0.0035281146637265713,0.13037129552829793,0.13037129552038323
0.5,10,0.2770641927101074,0.055400524577901025,0.0,2.3058670476552803,0.0036396048429027704,0.13037129552829793,0.13037129552038323
0.5,11,0.2669476238529943,0.053099243947031305,0.0,2.3845549213436277,0.00366728280961183,0.13037129552829793,0.13037129552038323
0.5,12,0.2742749308188509,0.054684832979414344,0.0,2.3759026118311115,0.004014517443152359,0.13037129552829793,0.13037129552038323
0.5,13,0.2619111953282981,0.052407072127142594,0.0,2.389521727067339,0.0034744296760648758,0.13037129552829793,0.13037129552038323
0.5,14,0.293291519200617,0.05892074543656366,0.0,2.296375751011432,0.003002464709836433,0.13037129552829793,0.13037129552038323
0.5,15,0.2778377072404252,0.05607629316089863,0.0,2.3761236986452094,0.0038681266365151153,0.13037129552829793,0.13037129552038323
0.6,1,0.620789248082353,0.1241900386885934,0.0,3.8520401313075165,0.0113806749748052,0.35422640570516495,0.3542263983079311
0.6,2,0.6590340390867974,0.1318937760479973,0.0,3.9993192350585884,0.01169749392297916,0.35422640570516495,0.3542263983079311
0.6,3,0.622645560094386,0.1234821450400518,0.0,3.8122048055264113,0.011752758616419185,0.35422640570516495,0.3542263983079311
0.6,4,0.6121550367153576,0.12250151665219906,0.0,3.880201023289086,0.011488147443578373,0.35422640570516495,0.3542263983079311
0.6,5,0.668286636344204,0.1336451343005883,0.0,3.963215063116817,0.011305279491631877,0.35422640570516495,0.3542263983079311
0.6,6,0.6287598502782493,0.1252179123062777,0.0,3.9132934060768436,0.011155595770789692,0.35422640570516495,0.3542263983079311
0.6,7,0.671923070833523,0.1348318794458455,0.0,3.8098046626042654,0.010657062153861335,0.35422640570516495,0.3542263983079311
0.6,8,0.6339717368464828,0.12674235943949258,0.0,3.9064657931784947,0.01077649837614408,0.35422640570516495,0.3542263983079311
