n,m,rho,seed,L_r1,L_r3a,L_c_analytic
4,6,0.7,19,1.038907861914528,0.6162297501964743,0.9948450591739566
4,6,0.7,20,1.0377745939861658,0.6397433624107551,0.9948450591739566
4,6,0.7,21,1.0322298949541107,0.6207978182477726,0.9948450591739566
4,6,0.7,22,1.0202736232951939,0.6228662090948897,0.9948450591739566
4,6,0.7,23,1.0412724738039942,0.6103112630585217,0.9948450591739566
4,6,0.7,24,1.0137728983713472,0.6394517943566593,0.9948450591739566
4,6,0.7,25,1.0419897249290782,0.6203234442151783,0.9948450591739566
4,6,0.7,26,1.0213343673226174,0.6432372861973579,0.9948450591739566
4,6,0.7,27,1.0389234574882336,0.6088470129629283,0.9948450591739566
4,6,0.7,28,1.0235760728627394,0.6166352840155765,0.9948450591739566
4,6,0.7,29,1.0494462031128209,0.6269055880157555,0.9948450591739566
4,6,0.7,30,1.0350460287966814,0.6223737844233358,0.9948450591739566
4,6,0.75,1,1.2215895065419857,0.7731586788440118,1.501041196658349
4,6,0.75,2,1.1890225097255884,0.7649487397102529,1.501041196658349
4,6,0.75,3,1.2127254060864363,0.7657876888633214,1.501041196658349
4,6,0.75,4,1.1979233336711297,0.7751201148980366,1.501041196658349
4,6,0.75,5,1.211355908519933,0.7624728632447593,1.501041196658349
4,6,0.75,6,1.205284794605132,0.7952167187432538,1.501041196658349
4,6,0.75,7,1.1915154380718693,0.7712084901512497,1.501041196658349
4,6,0.75,8,1.2311184334207672,0.7651702995792297,1.501041196658349
4,6,0.75,9,1.2046077967406696,0.7613492182123605,1.501041196658349
4,6,0.75,10,1.2106911152020876,0.7720302203930449,1.501041196658349
4,6,0.75,11,1.1942622852949272,0.7901532898829376,1.501041196658349
4,6,0.75,12,1.2252180974190867,0.7503784097693018,1.501041196658349
4,6,0.75,13,1.2171109468383763,0.7686660379917452,1.501041196658349
4,6,0.75,14,1.2204454202719166,0.7712054157882099,1.501041196658349
4,6,0.75,15,1.2208068595507398,0.7944850237411922,1.501041196658349
4,6,0.75,16,1.2185139382983816,0.7599174269312081,1.501041196658349
4,6,0.75,17,1.2077276597790059,0.7890032445312614,1.501041196658349
4,6,0.75,18,1.198538017373742,0.8116495513725508,1.501041196658349
4,6,0.75,19,1.22247684526433,0.7604162975624142,1.501041196658349
4,6,0.75,20,1.215689490759461,0.769500871323084,1.501041196658349
4,6,0.75,21,1.20025180662588,0.7700854391555078,1.501041196658349
4,6,0.75,22,1.2190431741804542,0.7800159085250392,1.501041196658349
4,6,0.75,23,1.208355550694122,0.7686704515022272,1.501041196658349
4,6,0.75,24,1.2237573115317493,0.759328771624336,1.501041196658349
4,6,0.75,25,1.1976795275207948,0.7556996402431242,1.501041196658349
4,6,0.75,26,1.1959741934175312,0.7532638524009533,1.501041196658349
4,6,0.75,27,1.2070976324775953,0.7851314277564764,1.501041196658349
4,6,0.75,28,1.199828488032841,0.7753307890140345,1.501041196658349
4,6,0.75,29,1.2137845443299708,0.7528095502153459,1.501041196658349
