rho,regime,seed,L_sim,L_d_analytic,L_c_analytic,block_frac,within_window
0.6,R1_fcfs_fixed,1,0.745151273692911,0.7701685135810697,0.3542263983079311,0.01022261429090343,0.595031232679719
0.6,R1_fcfs_fixed,2,0.7578313229294367,0.7701685135810697,0.3542263983079311,0.01181573993467116,0.5910562616709837
0.6,R1_fcfs_fixed,3,0.7653542757579169,0.7701685135810697,0.3542263983079311,0.011648925487045592,0.5898047657037918
0.6,R1_fcfs_fixed,4,0.773771957834399,0.7701685135810697,0.3542263983079311,0.011545938886662808,0.587288956286081
0.6,R1_fcfs_fixed,5,0.7560014574667264,0.7701685135810697,0.3542263983079311,0.01082000326753702,0.591297101286065
0.6,R1_fcfs_fixed,6,0.7655818876154157,0.7701685135810697,0.3542263983079311,0.01104968286744081,0.5909590989035662
0.6,R1_fcfs_fixed,7,0.7643809361279774,0.7701685135810697,0.3542263983079311,0.011451824509128105,0.5886776890488509
0.6,R1_fcfs_fixed,8,0.7820304888652369,0.7701685135810697,0.3542263983079311,0.011640867787201688,0.5830040854127612
0.6,R1_fcfs_fixed,9,0.7600731133229105,0.7701685135810697,0.3542263983079311,0.010820386020592685,0.5909396173477002
0.6,R1_fcfs_fixed,10,0.7812546526865043,0.7701685135810697,0.3542263983079311,0.010756671062184227,0.5820770331094086
0.6,R1_fcfs_fixed,11,0.777115972590751,0.7701685135810697,0.3542263983079311,0.012196837856851927,0.5844535578530675
0.6,R1_fcfs_fixed,12,0.7792141216933425,0.7701685135810697,0.3542263983079311,0.01183817218621445,0.5843023908827472
0.6,R1_fcfs_fixed,13,0.7843964216928546,0.7701685135810697,0.3542263983079311,0.011739515652687537,0.5855996533277547
0.6,R1_fcfs_fixed,14,0.77329410950694,0.7701685135810697,0.3542263983079311,0.0112414322855117,0.5876692987501961
0.6,R1_fcfs_fixed,15,0.7580162246354263,0.7701685135810697,0.3542263983079311,0.011104105626228536,0.5908143058597618
0.6,R2_priority_fixed,1,0.745151273692911,0.7701685135810697,0.3542263983079311,0.01022261429090343,0.5855790404002577
0.6,R2_priority_fixed,2,0.7578313229294367,0.7701685135810697,0.3542263983079311,0.01181573993467116,0.5815688813926871
0.6,R2_priority_fixed,3,0.7653542757579169,0.7701685135810697,0.3542263983079311,0.011648925487045592,0.5806301085303991
0.6,R2_priority_fixed,4,0.773771957834399,0.7701685135810697,0.3542263983079311,0.011545938886662808,0.5782729135856224
0.6,R2_priority_fixed,5,0.7560014574667264,0.7701685135810697,0.3542263983079311,0.01082000326753702,0.5815145986771474
0.6,R2_priority_fixed,6,0.7655818876154157,0.7701685135810697,0.3542263983079311,0.01104968286744081,0.5816487669797553
0.6,R2_priority_fixed,7,0.7643809361279774,0.7701685135810697,0.3542263983079311,0.011451824509128105,0.5800697334383084
0.6,R2_priority_fixed,8,0.7820304888652369,0.7701685135810697,0.3542263983079311,0.011640867787201688,0.573645726747877
0.6,R2_priority_fixed,9,0.7600731133229105,0.7701685135810697,0.3542263983079311,0.010820386020592685,0.5816941766408978
0.6,R2_priority_fixed,10,0.7812546526865043,0.7701685135810697,0.3542263983079311,0.010756671062184227,0.5728055000112336
0.6,R2_priority_fixed,11,0.777115972590751,0.7701685135810697,0.3542263983079311,0.012196837856851927,0.5753368170878911
0.6,R2_priority_fixed,12,0.7792141216933425,0.7701685135810697,0.3542263983079311,0.01183817218621445,0.5747328695834488
0.6,R2_priority_fixed,13,0.7843964216928546,0.7701685135810697,0.3542263983079311,0.011739515652687537,0.576066166581991
0.6,R2_priority_fixed,14,0.77329410950694,0.7701685135810697,0.3542263983079311,0.0112414322855117,0.5787047758495754
0.6,R2_priority_fixed,15,0.7580162246354263,0.7701685135810697,0.3542263983079311,0.011104105626228536,0.5821356776380929
0.6,R3a_priority_jsq,1,0.4163119333728596,0.7701685135810697,0.3542263983079311,0.0,0.6646740698543283
0.6,R3a_priority_jsq,2,0.41692980391661366,0.7701685135810697,0.3542263983079311,0.0,0.6626306322377321
0.6,R3a_priority_jsq,3,0.4174134703232764,0.7701685135810697,0.3542263983079311,0.0,0.6643410679921836
0.6,R3a_priority_jsq,4,0.4150054878455049,0.7701685135810697,0.3542263983079311,0.0,0.6633794142309091
0.6,R3a_priority_jsq,5,0.41989754289693504,0.7701685135810697,0.3542263983079311,0.0,0.660960299991848
0.6,R3a_priority_jsq,6,0.41460567400560056,0.7701685135810697,0.3542263983079311,0.0,0.6663331035454053
0.6,R3a_priority_jsq,7,0.41650243868801534,0.7701685135810697,0.3542263983079311,0.0,0.6658330682095637
0.6,R3a_priority_jsq,8,0.41636722449144337,0.7701685135810697,0.3542263983079311,0.0,0.6641119059255639
0.6,R3a_priority_jsq,9,0.4217882199772795,0.7701685135810697,0.3542263983079311,0.0,0.6627697841726619
0.6,R3a_priority_jsq,10,0.4204165535534307,0.7701685135810697,0.3542263983079311,0.0,0.661868795536496
0.6,R3a_priority_jsq,11,0.4159382120857855,0.7701685135810697,0.3542263983079311,0.0,0.6643016734977731
0.6,R3a_priority_jsq,12,0.41525427462909975,0.7701685135810697,0.3542263983079311,0.0,0.6635481429822089
0.6,R3a_priority_jsq,13,0.41700117297086103,0.7701685135810697,0.3542263983079311,0.0,0.6636812756075554
0.6,R3a_priority_jsq,14,0.41181524857629376,0.7701685135810697,0.3542263983079311,0.0,0.6650872280852896
0.6,R3a_priority_jsq,15,0.4111887205764524,0.7701685135810697,0.3542263983079311,0.0,0.6653765162974168
0.6,R3b_priority_jsq_travel,1,0.9576636179492987,0.7701685135810697,0.3542263983079311,0.04490689225735614,0.5203496670755889
0.6,R3b_priority_jsq_travel,2,0.9457530410829762,0.7701685135810697,0.3542263983079311,0.045406962499907194,0.5253906401910229
0.6,R3b_priority_jsq_travel,3,0.9346156752069907,0.7701685135810697,0.3542263983079311,0.04391605899039104,0.5258068274496097
0.6,R3b_priority_jsq_travel,4,0.9614304176826124,0.7701685135810697,0.3542263983079311,0.04675659459099091,0.5223851599717125
0.6,R3b_priority_jsq_travel,5,0.9452603379600818,0.7701685135810697,0.3542263983079311,0.043607429413900146,0.52627705560634
0.6,R3b_priority_jsq_travel,6,0.9396445852328259,0.7701685135810697,0.3542263983079311,0.04350314825414997,0.5258155025143204
0.6,R3b_priority_jsq_travel,7,0.9495480958845175,0.7701685135810697,0.3542263983079311,0.04321559970566593,0.5228763699288599
0.6,R3b_priority_jsq_travel,8,0.9369103387777491,0.7701685135810697,0.3542263983079311,0.04278337475260049,0.5243773514505146
0.6,R3b_priority_jsq_travel,9,0.955428838427939,0.7701685135810697,0.3542263983079311,0.04421743565483494,0.5213615059784374
0.6,R3b_priority_jsq_travel,10,0.942759803521351,0.7701685135810697,0.3542263983079311,0.043568033273915625,0.5239955270473854
0.6,R3b_priority_jsq_travel,11,0.9400634448948748,0.7701685135810697,0.3542263983079311,0.043952052306574646,0.5281441676165662
0.6,R3b_priority_jsq_travel,12,0.943339721327898,0.7701685135810697,0.3542263983079311,0.0431917521503428,0.5264138400173155
0.6,R3b_priority_jsq_travel,13,0.9271674117413573,0.7701685135810697,0.3542263983079311,0.041337196807446325,0.5290279688925308
0.6,R3b_priority_jsq_travel,14,0.9465622731965946,0.7701685135810697,0.3542263983079311,0.04343534057255676,0.5254250440369678
0.6,R3b_priority_jsq_travel,15,0.9561082494102706,0.7701685135810697,0.3542263983079311,0.04525621811577619,0.5199625725929305
