config,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
density_scarce,baseline,0,1,785,785,0,0.0,1.9600812706308135,1.001,0.9590812706308137,0.0,0,0.256198347107438,3.981018981018981,107
density_scarce,baseline,0,2,809,809,0,0.0,1.9439685098655914,1.0,0.9439685098655914,0.0,0,0.30578512396694213,6.415,106
density_scarce,baseline,0,3,808,808,0,0.39603960396039606,2.241371804193042,1.09,0.9465611482082569,0.2048106559847851,0,0.2874015748031496,11.887155963302753,108
density_scarce,baseline,0,4,822,822,0,0.35036496350364965,2.402270418289825,1.097,0.9424678666687134,0.3628025516211119,0,0.30078125,10.501367365542388,110
density_scarce,baseline,0,5,760,760,0,0.0,1.9290669902496467,1.001,0.9280669902496468,0.0,0,0.28205128205128205,7.764235764235765,99
density_scarce,baseline,0,6,861,861,0,0.0,1.9604876385654786,1.002,0.9584876385654786,0.0,0,0.2748091603053435,5.570858283433134,116
density_scarce,baseline,1,7,730,730,0,0.0,1.9750536486954846,1.002,0.9730536486954846,0.0,0,0.4690265486725664,7.560878243512974,99
density_scarce,baseline,1,8,777,777,0,0.0,2.012527000150023,0.999,1.0135270001500232,0.0,0,0.4525862068965517,2.83,108
density_scarce,baseline,1,9,794,794,0,0.0,1.9865342107377661,1.001,0.9855342107377664,0.0,0,0.45161290322580644,5.523476523476523,112
density_scarce,baseline,1,10,842,842,0,0.0,1.96200517990869,1.001,0.96100517990869,0.0,0,0.45075757575757575,6.013986013986014,116
density_scarce,baseline,1,11,796,796,0,0.0,1.9738035535999252,1.001,0.9728035535999252,0.0,0,0.475,5.815184815184815,108
density_scarce,baseline,1,12,746,746,0,0.0,2.017396043260552,1.001,1.0163960432605523,0.0,0,0.4690265486725664,2.5054945054945055,108
density_scarce,baseline,2,13,802,802,0,0.0,1.9723019863192692,1.0,0.9723019863192691,0.0,0,0.2565217391304348,4.387,105
density_scarce,baseline,2,14,829,829,0,0.0,1.9432648894205542,1.003,0.9402648894205542,0.0,0,0.24609375,6.273180458624128,110
density_scarce,baseline,2,15,788,788,0,0.0,2.009288505443175,1.002,1.0072885054431753,0.0,0,0.22807017543859648,2.344311377245509,108
density_scarce,baseline,2,16,776,776,0,0.0,1.9837820237443196,1.002,0.9817820237443197,0.0,0,0.2782608695652174,4.3163672654690615,106
density_scarce,baseline,2,17,850,850,0,0.0,1.9759065160307812,1.031,0.9449065160307812,0.0,0,0.24812030075187969,6.2987390882638215,115
