config,policy,layout_id,seed,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,f12_makespan_capped_min,f12_tardiness_capped_min,makespan_min,total_tardiness_min,mean_charge_duration_min,total_charge_energy_wh,mission_flight_energy_wh,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us,charge_sessions
density_scarce,baseline,0,1,2,0.8,785,785,0,0.0,1.9600812706308135,1.001,0.9590812706308137,0.0,1001.0,0.0,1001.0,0,31.710280373831775,7203.798051276144,7670.9859908626395,0,0.256198347107438,3.981018981018981,13.205780328274512,107
density_scarce,baseline,0,2,2,0.8,809,809,0,0.0,1.9439685098655914,1.0,0.9439685098655914,0.0,1000.0,0.0,1000.0,0,31.933962264150942,7213.341281295738,7756.88431631202,0,0.30578512396694213,6.415,12.19587500615061,106
density_scarce,baseline,0,3,2,0.8,808,808,0,0.39603960396039606,2.241371804193042,1.09,0.9465611482082569,0.2048106559847851,1090.0,7446.915451606786,1090.0,7446.915451606786,31.84259259259259,7319.266379579678,7960.997124345539,0,0.2874015748031496,11.887155963302753,10.468506650251198,108
density_scarce,baseline,0,4,2,0.8,822,822,0,0.35036496350364965,2.402270418289825,1.097,0.9424678666687134,0.3628025516211119,1097.0,13420.06638446493,1097.0,13420.06638446493,31.936363636363637,7485.059525331697,8088.786372748374,0,0.30078125,10.501367365542388,10.955473044305108,110
density_scarce,baseline,0,5,2,0.8,760,760,0,0.0,1.9290669902496467,1.001,0.9280669902496468,0.0,1001.0,0.0,1001.0,0,31.757575757575758,6686.2135139244565,7344.0380743115575,0,0.28205128205128205,7.764235764235765,12.043592396677814,99
density_scarce,baseline,0,6,2,0.8,861,861,0,0.0,1.9604876385654786,1.002,0.9584876385654786,0.0,1002.0,0.0,1002.0,0,31.887931034482758,7859.189240703021,8373.756476616318,0,0.2748091603053435,5.570858283433134,11.95191720301527,116
density_scarce,baseline,1,7,2,0.8,730,730,0,0.0,1.9750536486954846,1.002,0.9730536486954846,0.0,1002.0,0.0,1002.0,0,31.97979797979798,6735.714903695927,7138.783818540628,0,0.4690265486725664,7.560878243512974,12.447781947367224,99
density_scarce,baseline,1,8,2,0.8,777,777,0,0.0,2.012527000150023,0.999,1.0135270001500232,0.0,999.0,0.0,999.0,0,31.925925925925927,7331.608676579179,7468.285540439806,0,0.4525862068965517,2.83,13.906908610932014,108
density_scarce,baseline,1,9,2,0.8,794,794,0,0.0,1.9865342107377661,1.001,0.9855342107377664,0.0,1001.0,0.0,1001.0,0,31.982142857142858,7619.657174690086,7857.091597227538,0,0.45161290322580644,5.523476523476523,12.330653619081263,112
density_scarce,baseline,1,10,2,0.8,842,842,0,0.0,1.96200517990869,1.001,0.96100517990869,0.0,1001.0,0.0,1001.0,0,32.189655172413794,7958.645818230393,8413.705747000791,0,0.45075757575757575,6.013986013986014,11.703029899349945,116
