rho,seed,t_r1,t_c_analytic
1.0001,1,9.9700980867315,9.4564818981795
1.0001,2,10.005155977673507,9.4564818981795
1.0001,3,10.009475706650312,9.4564818981795
1.0001,4,10.006557895358466,9.4564818981795
1.0001,5,9.94274713648867,9.4564818981795
1.0001,6,9.927781566047328,9.4564818981795
1.0001,7,9.976573073811421,9.4564818981795
1.0001,8,10.058430367085236,9.4564818981795
1.0001,9,9.93259100010601,9.4564818981795
1.0001,10,10.00410229543073,9.4564818981795
1.005,1,10.067316578488208,9.702207829867465
1.005,2,10.134389150392558,9.702207829867465
1.005,3,10.138687387178154,9.702207829867465
1.005,4,10.130946983106703,9.702207829867465
1.005,5,10.102113689946098,9.702207829867465
1.005,6,10.135296680735085,9.702207829867465
1.005,7,10.051934383057743,9.702207829867465
1.005,8,10.108198413046376,9.702207829867465
1.005,9,10.13248612665186,9.702207829867465
1.005,10,10.146680263045603,9.702207829867465
1.01,1,10.246593036440938,9.953740500690241
1.01,2,10.265716898464598,9.953740500690241
1.01,3,10.202758379278968,9.953740500690241
1.01,4,10.20410716544259,9.953740500690241
1.01,5,10.203181559276576,9.953740500690241
1.01,6,10.203613047940951,9.953740500690241
1.01,7,10.222948744233838,9.953740500690241
1.01,8,10.211198239242092,9.953740500690241
1.01,9,10.229129844254585,9.953740500690241
1.01,10,10.224235765852075,9.953740500690241
1.015,1,10.316721580492482,10.205821801153144
1.015,2,10.356127035041238,10.205821801153144
1.015,3,10.27584770212889,10.205821801153144
1.015,4,10.29527256812596,10.205821801153144
1.015,5,10.266948862486716,10.205821801153144
1.015,6,10.319717879887024,10.205821801153144
1.015,7,10.402152992042497,10.205821801153144
1.015,8,10.309944782432611,10.205821801153144
1.015,9,10.35126249019068,10.205821801153144
1.015,10,10.304141092673916,10.205821801153144
1.02,1,10.461523870153002,10.458204132006301
1.02,2,10.487681327367056,10.458204132006301
1.02,3,10.457184344038886,10.458204132006301
1.02,4,10.38535181783808,10.458204132006301
1.02,5,10.471022115194852,10.458204132006301
1.02,6,10.369019904309978,10.458204132006301
1.02,7,10.441868548333423,10.458204132006301
1.02,8,10.46320653536024,10.458204132006301
1.02,9,10.448506327393584,10.458204132006301
1.02,10,10.487781463559529,10.458204132006301
1.03,1,10.636005948376795,10.962915818814567
1.03,2,10.687379301881618,10.962915818814567
1.03,3,10.64942134931695,10.962915818814567
1.03,4,10.617438516155348,10.962915818814567
1.03,5,10.701777456972787,10.962915818814567
1.03,6,10.683671354794196,10.962915818814567
1.03,7,10.630362232305929,10.962915818814567
1.03,8,10.667900510138336,10.962915818814567
1.03,9,10.662537884054268,10.962915818814567
1.03,10,10.611142995653081,10.962915818814567
1.05,1,11.18348890381422,11.965922890744293
1.05,2,11.120559056377086,11.965922890744293
1.05,3,11.121225343146289,11.965922890744293
1.05,4,11.168438090571671,11.965922890744293
1.05,5,11.07067376895112,11.965922890744293
1.05,6,11.071243893166594,11.965922890744293
1.05,7,11.084240521638261,11.965922890744293
1.05,8,11.09355272036717,11.965922890744293
1.05,9,11.064156724857753,11.965922890744293
1.05,10,11.101821138461036,11.965922890744293
