n,m,rho,seed,L_r1,L_r3a,t_r1,t_r3a,block_r1,block_r3a,L_c_analytic,t_c_analytic
4,6,0.55,1,0.5679747795251343,0.11336642739187754,2.288619974494971,0.4529532775767163,0.011656090030472781,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,2,0.568650473943752,0.11844200164735412,2.309274379868856,0.47328038437521175,0.01293862757405795,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,3,0.5679941969425687,0.12113319858473126,2.3058698264884363,0.4862845422474881,0.011333340091437145,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,4,0.5651687600244372,0.12141704067931952,2.2925569730433675,0.48480628487749594,0.01248305581969369,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,5,0.5756177346833916,0.1171099651344988,2.327641390665748,0.4691601872901983,0.012475417275982049,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,6,0.5617400507736936,0.11844099346537884,2.2821994293840326,0.47484797023801834,0.011941690489224095,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,7,0.5672742610387258,0.12148288039695265,2.2928589832155084,0.4836726994367688,0.012777106005642885,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,8,0.5672402937649562,0.11613250996386014,2.3067568750662955,0.46435469957837056,0.011844348814550178,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,9,0.5666208718763567,0.1267583694841106,2.2916704501230383,0.5026337344479103,0.01238714883744389,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,10,0.5606407245019145,0.12419727884091153,2.2759602245466537,0.49681713260172744,0.012123237724842003,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,11,0.5664296093825444,0.11533755137562408,2.295729011791717,0.46287910922691256,0.011943166304292865,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,12,0.5812093758513416,0.11847633448781855,2.3501259711006686,0.4757362015146792,0.012015132408575031,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,13,0.5676647186488002,0.12004391655770398,2.2958351653743168,0.4803484745394092,0.013381161581556568,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,14,0.5654531505198728,0.11880439668108148,2.2931590779055253,0.4760551790234074,0.012379642365887207,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,15,0.5637982811357198,0.12057688921093591,2.2869295150744193,0.4791759724580833,0.012172909962965212,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,16,0.571295416190212,0.1196936171834773,2.3082579380458363,0.4789361928872387,0.0121765601217656,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,17,0.5736088033859897,0.11328913976354602,2.3141100535957957,0.4525851132041788,0.012517105369073493,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,18,0.5670907818127426,0.12208627622582718,2.29653119163043,0.48713955751350263,0.012911366848374722,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,19,0.5560549111106305,0.11747834112520149,2.264374629787404,0.47013180958404704,0.012510789540492511,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,20,0.5675141526056168,0.1199106216716234,2.3032796748228956,0.48039947980618825,0.011748977028724223,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,21,0.5676387955561596,0.11904713346787939,2.3108185994954296,0.47788284577928053,0.013108101252980267,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,22,0.569490179373349,0.11576868211678663,2.302535176463908,0.46195524218109435,0.01287090791807773,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,23,0.5769580005201356,0.11513150881389556,2.3267360841782945,0.4622436722048322,0.01276869558223241,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,24,0.5758701649601489,0.11837791905162091,2.3412796267575073,0.4741150954188349,0.013351567644228334,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,25,0.5727940231376948,0.11752995951877113,2.3159697405667767,0.46872785837445735,0.012173965666794424,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,26,0.5755474565702887,0.11239620719993003,2.3254616827830956,0.45228461433606015,0.012841948350187342,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,27,0.5694011276689271,0.1164176563540685,2.3207871344022757,0.4677779888813354,0.01236174365647365,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,28,0.5787381657691265,0.12200489741928901,2.337110261056004,0.48703076962972597,0.012869572222669781,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,29,0.571573972981964,0.12306709205244434,2.3146006176955183,0.4896814651162843,0.012453664892381347,0.0,0.277181036156087,0.2771812176538617
4,6,0.55,30,0.5832751897893813,0.11172672687458368,2.3547357216267617,0.4514810029116722,0.011538500297280138,0.0,0.277181036156087,0.2771812176538617
