layout_seed,rho,seed,R3b_L,Concentrated_travel_L,R3b_block,Concentrated_block
0,0.6,1,0.4752623784358464,0.3391645013010542,0.0010663921013440217,0.0
0,0.6,2,0.46211415713314025,0.36991931447189697,0.0006312076487515084,0.0
0,0.6,3,0.46396422025081685,0.3572342076506159,0.0006134285076957395,0.0
0,0.6,4,0.47471321030462227,0.3365724478490385,0.0004632889811348727,0.0
0,0.6,5,0.47322832508281715,0.3524792827896996,0.0006342691913067811,0.0
0,0.6,6,0.4911136051657102,0.33933464783571676,0.0008790564793788001,0.0
0,0.6,7,0.4781015048350796,0.3504214251848231,0.0008679112883866083,0.0
0,0.6,8,0.47982815908195775,0.33995064642826706,0.0004991680532445924,0.0
0,0.6,9,0.47430044822408046,0.350091240530391,0.0006097448310267734,0.0
0,0.6,10,0.46321681572842266,0.3411752352034313,0.0007251631617113851,0.0
0,0.8,1,1.1701859045648966,2.2777101105999837,0.010255701451278507,0.00022040996253030638
0,0.8,2,1.2137632559908726,2.1905148776347976,0.012773951158422042,0.0
0,0.8,3,1.212292659358293,2.0707053822365182,0.009628514895633029,4.175132908397584e-05
0,0.8,4,1.1825937699507854,2.2677117522471324,0.01154982166740972,9.701337398655672e-05
0,0.8,5,1.2164869133321037,2.1406426453913507,0.011064007227743415,4.161580290755743e-05
0,0.8,6,1.2300581068954288,2.257468802754472,0.012320157609223469,1.3815589511204443e-05
0,0.8,7,1.1943762321704188,2.3242338281428827,0.011270179713676515,5.5057741806719795e-05
0,0.8,8,1.2334683918868063,1.9690554275060899,0.012039001927904686,0.0
0,0.8,9,1.2064867041739653,2.2123308197157305,0.011979043622062563,1.386731750610162e-05
0,0.8,10,1.2305514329771632,2.1398413203783977,0.01266687104595747,7.015180851362348e-05
0,1.0,1,2.5115480189774724,14.070046333423432,0.07438840631093778,0.03174813441073873
0,1.0,2,2.4896428963399826,14.244020581210906,0.07442590818985678,0.03257793524522584
0,1.0,3,2.473086802970284,13.778761721500022,0.07250445632798574,0.030445825813782502
0,1.0,4,2.4749617924260323,13.680577541223725,0.07154448050504601,0.028256374913852515
0,1.0,5,2.490078337127719,13.806697112104557,0.0727927728204844,0.02887218045112782
0,1.0,6,2.4917031556066194,14.373502761896816,0.07310988657656359,0.03112265858343604
0,1.0,7,2.4566930405806464,14.01352178251186,0.07136820567565164,0.03194817541648703
0,1.0,8,2.4384385021621364,13.882499334362759,0.06980264695733479,0.028987119307690597
0,1.0,9,2.474346818034201,14.313867406680858,0.07155398497577455,0.03150339992678787
0,1.0,10,2.548831589112151,13.995956583317119,0.07536324975635687,0.03013689489896912
0,1.2,1,3.5976608852295913,25.12647725672778,0.1880466472303207,0.16804862526632294
0,1.2,2,3.5748535701284836,24.859040081031964,0.18309976953386364,0.16256821710471267
0,1.2,3,3.6136262879706122,24.80587075265621,0.18809086012518342,0.1596515607949935
0,1.2,4,3.5885828392844212,25.0645666302835,0.1829638683630572,0.16794672009498368
0,1.2,5,3.569426549189725,25.027111447286643,0.1803275646081752,0.16766817434592415
0,1.2,6,3.5858499331281117,24.965977515483864,0.18348971223818847,0.16259364553140657
